asn1,asn2,asn1RIR,asn2RIR,rel
174,23188,ARIN,ARIN,p2c
174,23344,ARIN,ARIN,p2c
174,23352,ARIN,ARIN,p2c
174,23471,ARIN,ARIN,p2c
174,23747,ARIN,APNIC,p2c
174,24492,ARIN,APNIC,p2c
174,25101,ARIN,RIPE,p2c
174,25441,ARIN,RIPE,p2c
174,25612,ARIN,ARIN,p2c
174,25892,ARIN,ARIN,p2c
174,26156,ARIN,ARIN,p2c
174,26269,ARIN,ARIN,p2c
174,26550,ARIN,ARIN,p2c
174,26832,ARIN,ARIN,p2c
174,26881,ARIN,ARIN,p2c
174,26945,ARIN,ARIN,p2c
174,26978,ARIN,ARIN,p2c
174,27487,ARIN,ARIN,p2c
174,27693,ARIN,LACNIC,p2c
174,28359,ARIN,LACNIC,p2c
174,28469,ARIN,LACNIC,p2c
174,28478,ARIN,LACNIC,p2c
174,28642,ARIN,LACNIC,p2c
174,28665,ARIN,LACNIC,p2c
174,29074,ARIN,RIPE,p2c
174,29182,ARIN,RIPE,p2c
174,29457,ARIN,RIPE,p2c
174,29695,ARIN,RIPE,p2c
174,29838,ARIN,ARIN,p2c
174,29897,ARIN,ARIN,p2c
174,29952,ARIN,ARIN,p2c
174,29954,ARIN,ARIN,p2c
174,29974,ARIN,ARIN,p2c
174,30038,ARIN,ARIN,p2c
174,30053,ARIN,ARIN,p2c
174,30109,ARIN,ARIN,p2c
174,30149,ARIN,ARIN,p2c
174,30177,ARIN,ARIN,p2c
174,30914,ARIN,RIPE,p2c
174,31083,ARIN,RIPE,p2c
174,32360,ARIN,ARIN,p2c
174,32431,ARIN,ARIN,p2c
174,32565,ARIN,ARIN,p2c
174,33127,ARIN,ARIN,p2c
174,33131,ARIN,ARIN,p2c
174,33257,ARIN,ARIN,p2c
174,33587,ARIN,ARIN,p2c
174,33606,ARIN,ARIN,p2c
174,33614,ARIN,ARIN,p2c
174,33647,ARIN,ARIN,p2c
174,33932,ARIN,RIPE,p2c
174,33986,ARIN,RIPE,p2c
174,34290,ARIN,RIPE,p2c
174,34362,ARIN,RIPE,p2c
174,34428,ARIN,RIPE,p2c
174,34471,ARIN,RIPE,p2c
174,34476,ARIN,RIPE,p2c
174,34683,ARIN,RIPE,p2c
174,34927,ARIN,RIPE,p2c
174,35236,ARIN,RIPE,p2c
174,35344,ARIN,RIPE,p2c
174,35598,ARIN,RIPE,p2c
174,35798,ARIN,RIPE,p2c
174,35840,ARIN,ARIN,p2c
174,36048,ARIN,ARIN,p2c
174,36073,ARIN,ARIN,p2c
174,36729,ARIN,ARIN,p2c
174,37442,ARIN,AFRINIC,p2c
174,38278,ARIN,APNIC,p2c
174,38553,ARIN,APNIC,p2c
174,38583,ARIN,APNIC,p2c
174,38983,ARIN,RIPE,p2c
174,39384,ARIN,RIPE,p2c
174,39416,ARIN,RIPE,p2c
174,39458,ARIN,RIPE,p2c
174,39603,ARIN,RIPE,p2c
174,40430,ARIN,ARIN,p2c
174,40531,ARIN,ARIN,p2c
174,40537,ARIN,ARIN,p2c
174,40593,ARIN,ARIN,p2c
174,40676,ARIN,ARIN,p2c
174,40780,ARIN,ARIN,p2c
174,40900,ARIN,ARIN,p2c
174,40984,ARIN,RIPE,p2c
174,41721,ARIN,RIPE,p2c
174,41847,ARIN,RIPE,p2c
174,41920,ARIN,RIPE,p2c
174,42512,ARIN,RIPE,p2c
174,42707,ARIN,RIPE,p2c
174,42831,ARIN,RIPE,p2c
174,44166,ARIN,RIPE,p2c
174,44786,ARIN,RIPE,p2c
174,45429,ARIN,APNIC,p2c
174,45499,ARIN,APNIC,p2c
174,45899,ARIN,APNIC,p2c
174,46107,ARIN,ARIN,p2c
174,46200,ARIN,ARIN,p2c
174,46660,ARIN,ARIN,p2c
174,46799,ARIN,ARIN,p2c
174,46903,ARIN,ARIN,p2c
174,46970,ARIN,ARIN,p2c
174,46979,ARIN,ARIN,p2c
174,47095,ARIN,ARIN,p2c
174,47582,ARIN,RIPE,p2c
174,47704,ARIN,RIPE,p2c
174,47823,ARIN,RIPE,p2c
174,47949,ARIN,RIPE,p2c
174,48438,ARIN,RIPE,p2c
174,49353,ARIN,RIPE,p2c
174,49524,ARIN,RIPE,p2p
174,49770,ARIN,RIPE,p2c
174,49791,ARIN,RIPE,p2c
174,50084,ARIN,RIPE,p2c
174,50202,ARIN,RIPE,p2c
174,50234,ARIN,RIPE,p2c
174,50509,ARIN,RIPE,p2c
174,50845,ARIN,RIPE,p2c
174,51333,ARIN,RIPE,p2c
174,51621,ARIN,RIPE,p2c
174,51798,ARIN,RIPE,p2c
174,52258,ARIN,LACNIC,p2c
174,52284,ARIN,LACNIC,p2c
174,52389,ARIN,LACNIC,p2c
174,52545,ARIN,LACNIC,p2c
174,53180,ARIN,LACNIC,p2c
174,53333,ARIN,ARIN,p2c
174,53502,ARIN,ARIN,p2c
174,53732,ARIN,ARIN,p2c
174,53810,ARIN,ARIN,p2c
174,53826,ARIN,ARIN,p2c
174,53980,ARIN,ARIN,p2c
174,54324,ARIN,ARIN,p2c
174,54483,ARIN,ARIN,p2c
174,54548,ARIN,ARIN,p2c
174,54578,ARIN,ARIN,p2c
174,54804,ARIN,ARIN,p2c
174,54945,ARIN,ARIN,p2c
174,55189,ARIN,ARIN,p2c
174,56400,ARIN,RIPE,p2c
174,58014,ARIN,RIPE,p2c
174,59514,ARIN,RIPE,p2c
174,60167,ARIN,RIPE,p2c
174,60268,ARIN,RIPE,p2c
174,60376,ARIN,RIPE,p2c
174,60943,ARIN,RIPE,p2c
174,61273,ARIN,RIPE,p2c
174,61397,ARIN,RIPE,p2c
174,61659,ARIN,LACNIC,p2c
174,62014,ARIN,RIPE,p2c
174,62033,ARIN,RIPE,p2c
174,62239,ARIN,RIPE,p2c
174,62416,ARIN,RIPE,p2c
174,62622,ARIN,ARIN,p2c
174,62656,ARIN,ARIN,p2c
174,62672,ARIN,ARIN,p2c
174,62680,ARIN,ARIN,p2c
174,62698,ARIN,ARIN,p2c
174,62746,ARIN,ARIN,p2c
174,62754,ARIN,ARIN,p2c
174,63010,ARIN,ARIN,p2c
174,63104,ARIN,ARIN,p2c
174,63131,ARIN,ARIN,p2c
174,63253,ARIN,ARIN,p2c
174,64022,ARIN,APNIC,p2c
174,64262,ARIN,ARIN,p2c
174,64286,ARIN,ARIN,p2c
174,131273,ARIN,APNIC,p2c
174,132330,ARIN,APNIC,p2c
174,132337,ARIN,APNIC,p2c
174,133070,ARIN,APNIC,p2c
174,133326,ARIN,APNIC,p2c
174,134456,ARIN,APNIC,p2c
174,135323,ARIN,APNIC,p2c
174,135594,ARIN,APNIC,p2c
174,136255,ARIN,APNIC,p2c
174,137182,ARIN,APNIC,p2c
174,137490,ARIN,APNIC,p2p
174,138456,ARIN,APNIC,p2c
174,138571,ARIN,APNIC,p2c
174,139628,ARIN,APNIC,p2c
174,139831,ARIN,APNIC,p2c
174,139836,ARIN,APNIC,p2c
174,140875,ARIN,APNIC,p2c
174,140883,ARIN,APNIC,p2c
174,141153,ARIN,APNIC,p2c
174,141163,ARIN,APNIC,p2c
174,141190,ARIN,APNIC,p2c
174,142010,ARIN,APNIC,p2c
174,197816,ARIN,RIPE,p2c
174,197869,ARIN,RIPE,p2c
174,198090,ARIN,RIPE,p2c
174,198239,ARIN,RIPE,p2c
174,198651,ARIN,RIPE,p2c
174,198701,ARIN,RIPE,p2c
174,198731,ARIN,RIPE,p2c
174,199095,ARIN,RIPE,p2c
174,200043,ARIN,RIPE,p2c
174,200052,ARIN,RIPE,p2c
174,200553,ARIN,RIPE,p2c
174,200797,ARIN,RIPE,p2c
174,201178,ARIN,RIPE,p2c
174,201277,ARIN,RIPE,p2c
174,202169,ARIN,RIPE,p2c
174,202451,ARIN,RIPE,p2c
174,202617,ARIN,RIPE,p2c
174,202969,ARIN,RIPE,p2c
174,203315,ARIN,RIPE,p2c
174,203483,ARIN,RIPE,p2c
174,203752,ARIN,RIPE,p2c
174,204260,ARIN,RIPE,p2c
174,204403,ARIN,RIPE,p2c
174,204760,ARIN,RIPE,p2c
174,205847,ARIN,RIPE,p2c
174,206892,ARIN,RIPE,p2c
174,207102,ARIN,RIPE,p2c
174,207294,ARIN,RIPE,p2c
174,207449,ARIN,RIPE,p2c
174,207456,ARIN,RIPE,p2c
174,207606,ARIN,RIPE,p2c
174,207695,ARIN,RIPE,p2c
174,207719,ARIN,RIPE,p2c
174,207765,ARIN,RIPE,p2c
174,207975,ARIN,RIPE,p2c
174,208367,ARIN,RIPE,p2c
174,209137,ARIN,RIPE,p2c
174,209252,ARIN,RIPE,p2c
174,209920,ARIN,RIPE,p2c
174,209966,ARIN,RIPE,p2c
174,211601,ARIN,RIPE,p2c
174,211675,ARIN,RIPE,p2c
174,211690,ARIN,RIPE,p2c
174,211733,ARIN,RIPE,p2c
174,211751,ARIN,RIPE,p2c
174,211808,ARIN,RIPE,p2c
174,211826,ARIN,RIPE,p2c
174,211909,ARIN,RIPE,p2c
174,211945,ARIN,RIPE,p2c
174,211954,ARIN,RIPE,p2c
174,211997,ARIN,RIPE,p2c
174,212047,ARIN,RIPE,p2c
174,212081,ARIN,RIPE,p2c
174,212109,ARIN,RIPE,p2c
174,212153,ARIN,RIPE,p2c
174,212158,ARIN,RIPE,p2c
174,212190,ARIN,RIPE,p2c
174,212228,ARIN,RIPE,p2c
174,212321,ARIN,RIPE,p2c
174,212323,ARIN,RIPE,p2c
174,212346,ARIN,RIPE,p2c
174,212404,ARIN,RIPE,p2c
174,212406,ARIN,RIPE,p2c
174,212416,ARIN,RIPE,p2c
174,212449,ARIN,RIPE,p2c
174,212486,ARIN,RIPE,p2c
174,212536,ARIN,RIPE,p2c
174,212547,ARIN,RIPE,p2c
174,212553,ARIN,RIPE,p2c
174,212647,ARIN,RIPE,p2c
