nTransaction,ms
3380,1503.340315014124
3390,1759.587601006031
3400,1625.3219729959965
3410,1491.82530900836
3420,1597.8161349892616
3430,1512.8516199886799
3440,1644.3663649857044
3450,1526.4640339910984
3460,1501.0154819786549
3470,1736.397392988205
3480,1543.7093899846077
3490,1507.5056329965591
3500,1639.9558709859848
3510,1680.6810840070248
3520,1463.8794629871845
3530,1609.6884469985962
3540,1592.5919909775257
3550,1508.998066008091
3560,1543.4861019849777
3570,1601.904697984457
3580,1691.8245429992676
3590,1572.6953999996185
3600,1634.1428200006485
3610,1560.282626003027
3620,1660.535443007946
3630,1551.5861069858074
3640,1685.1719480156898
3650,1723.1988039910793
3660,1621.0602180063725
3670,1518.7273020148277
3680,1487.237439006567
3690,1675.3627629876137
3700,1665.1916489899158
3710,1638.5200819969177
3720,1529.326673001051
3730,1678.3569989800453
3740,1704.827545017004
3750,1541.8993200063705
3760,1696.2543709874153
3770,1645.3939599990845
3780,1662.2809870243073
3790,1558.3141460120678
3800,1490.1282790005207
3810,1665.1256240010262
3820,1698.3705430030823
3830,1707.190041989088
3840,1532.1864669919014
3850,1687.8319419920444
3860,1577.1687859892845
3870,1583.5085379779339
3880,1708.20188498497
3890,1656.095991998911
3900,1574.1102040112019
3910,1760.7870009839535
3920,1543.7201919853687
3930,1687.666707009077
3940,1676.3304949998856
3950,1687.8639559745789
3960,1570.1049500107765
3970,1662.8983439803123
3980,1685.3582890033722
3990,1703.5360810160637
4000,1591.7772859930992
4010,1699.453431993723
4020,1548.9381009936333
4030,1695.4166720211506
4040,1581.5469830036163
4050,1657.3048520088196
4060,1654.189040005207
4070,1543.818560987711
4080,1772.3882160186768
4090,1795.1414460241795
4100,1598.6498210132122
4110,1628.507378011942
4120,1734.2712819874287
4130,1740.428001999855
4140,1614.8339579999447
4150,1722.555676996708
4160,1592.0392090082169
4170,1692.8874219954014
4180,1791.320503026247
4190,1608.0169230103493
4200,1728.2637090086937
4210,1576.9310779869556
4220,1789.2034119963646
4230,1832.9569690227509
4240,1739.1971789896488
4250,1624.2544910013676
4260,1646.085697978735
4270,1768.9626669883728
4280,1659.7675229907036
4290,1807.5912310183048
4300,1843.5786139965057
4310,1763.611660003662
4320,1629.8377200067043
4330,1792.3823110163212
4340,1796.6869089901447
4350,1648.5280080139637
4360,1816.428649008274
